| Metric   | Filters   | scrc-rcsc-prom                                                          | eng-prom                                         | chi-prom                                          | kor-prom                                                            | jap-prom                                                               | right-center-prom                                                                            |
|----------+-----------+-------------------------------------------------------------------------+--------------------------------------------------+---------------------------------------------------+---------------------------------------------------------------------+------------------------------------------------------------------------+----------------------------------------------------------------------------------------------|
| AvgS     |           | [4.75]/[4.75]                                                           | [5.0]/[5.0]                                      | [5.0]/[5.5]                                       | [8.8]/[9.0]                                                         | [8.8]/[9.0]                                                            | [6.714285714285714]/[5.2]                                                                    |
| AvgT     |           | [17.88888888888889]/[19.333333333333332]                                | [12.2]/[12.714285714285714]                      | [14.2]/[10.428571428571429]                       | [9.777777777777779]/[9.444444444444445]                             | [9.777777777777779]/[8.9]                                              | [13.25]/[15.166666666666666]                                                                 |
| AvgT     | I         | [16.166666666666668]/[21.0]                                             | [11.333333333333334]/[12.2]                      | [12.75]/[10.0]                                    | [8.375]/[8.714285714285714]                                         | [8.375]/[8.125]                                                        | [14.333333333333334]/[15.444444444444445]                                                    |
| AvgT     | IP        | [19.5]/[23.0]                                                           | [13.5]/[14.0]                                    | [16.0]/[11.666666666666666]                       | [10.25]/[10.5]                                                      | [10.25]/[10.5]                                                         | [15.4]/[19.0]                                                                                |
| AvgT     | IPU       | [0]/[0]                                                                 | [0]/[0]                                          | [0]/[0]                                           | [0]/[0]                                                             | [0]/[0]                                                                | [0]/[0]                                                                                      |
| AvgT     | IU        | [9.5]/[17.0]                                                            | [7.0]/[9.5]                                      | [9.5]/[7.5]                                       | [6.5]/[6.333333333333333]                                           | [6.5]/[5.75]                                                           | [13.0]/[11.0]                                                                                |
| AvgT     | P         | [20.285714285714285]/[20.0]                                             | [13.5]/[14.0]                                    | [17.333333333333332]/[11.6]                       | [12.4]/[11.0]                                                       | [12.4]/[11.0]                                                          | [13.375]/[17.25]                                                                             |
| AvgT     | PU        | [21.333333333333332]/[16.0]                                             | [13.5]/[14.0]                                    | [20.0]/[11.5]                                     | [21.0]/[12.0]                                                       | [21.0]/[12.0]                                                          | [10.0]/[14.333333333333334]                                                                  |
| AvgT     | U         | [16.6]/[16.4]                                                           | [11.333333333333334]/[11.75]                     | [13.0]/[9.5]                                      | [9.4]/[8.6]                                                         | [9.4]/[7.833333333333333]                                              | [11.714285714285714]/[12.428571428571429]                                                    |
| BoxT     |           | [9]/[9]                                                                 | [5]/[7]                                          | [5]/[7]                                           | [9]/[9]                                                             | [9]/[10]                                                               | [12]/[12]                                                                                    |
| BoxT     | I         | [6]/[6]                                                                 | [3]/[5]                                          | [4]/[5]                                           | [8]/[7]                                                             | [8]/[8]                                                                | [9]/[9]                                                                                      |
| BoxT     | IP        | [4]/[4]                                                                 | [2]/[3]                                          | [2]/[3]                                           | [4]/[4]                                                             | [4]/[4]                                                                | [5]/[5]                                                                                      |
| BoxT     | IPU       | [0]/[0]                                                                 | [0]/[0]                                          | [0]/[0]                                           | [0]/[0]                                                             | [0]/[0]                                                                | [0]/[0]                                                                                      |
| BoxT     | IU        | [2]/[2]                                                                 | [1]/[2]                                          | [2]/[2]                                           | [4]/[3]                                                             | [4]/[4]                                                                | [4]/[4]                                                                                      |
| BoxT     | P         | [7]/[7]                                                                 | [4]/[5]                                          | [3]/[5]                                           | [5]/[6]                                                             | [5]/[6]                                                                | [8]/[8]                                                                                      |
| BoxT     | PU        | [3]/[3]                                                                 | [2]/[2]                                          | [1]/[2]                                           | [1]/[2]                                                             | [1]/[2]                                                                | [3]/[3]                                                                                      |
| BoxT     | U         | [5]/[5]                                                                 | [3]/[4]                                          | [3]/[4]                                           | [5]/[5]                                                             | [5]/[6]                                                                | [7]/[7]                                                                                      |
| MaxS     |           | [8]/[8]                                                                 | [6]/[8]                                          | [6]/[10]                                          | [24]/[24]                                                           | [24]/[24]                                                              | [13]/[8]                                                                                     |
| MaxSR    |           | [[8, 4, 4, 3]]/[[8, 4, 4, 3]]                                           | [[6, 4]]/[[8, 4, 3]]                             | [[6, 5, 4]]/[[10, 5, 4, 3]]                       | [[24, 5, 5, 5, 5]]/[[24, 7, 5, 5, 4]]                               | [[24, 5, 5, 5, 5]]/[[24, 7, 5, 5, 4]]                                  | [[13, 9, 8, 5, 5, 4, 3]]/[[8, 8, 4, 3, 3]]                                                   |
| MaxT     |           | [36]/[36]                                                               | [21]/[21]                                        | [20]/[20]                                         | [22]/[22]                                                           | [22]/[22]                                                              | [21]/[33]                                                                                    |
| MaxT     | I         | [36]/[36]                                                               | [21]/[21]                                        | [20]/[20]                                         | [22]/[22]                                                           | [22]/[22]                                                              | [21]/[33]                                                                                    |
| MaxT     | IP        | [36]/[36]                                                               | [21]/[21]                                        | [20]/[20]                                         | [22]/[22]                                                           | [22]/[22]                                                              | [21]/[33]                                                                                    |
| MaxT     | IPU       | [0]/[0]                                                                 | [0]/[0]                                          | [0]/[0]                                           | [0]/[0]                                                             | [0]/[0]                                                                | [0]/[0]                                                                                      |
| MaxT     | IU        | [10]/[25]                                                               | [7]/[10]                                         | [12]/[12]                                         | [13]/[13]                                                           | [13]/[13]                                                              | [19]/[22]                                                                                    |
| MaxT     | P         | [36]/[36]                                                               | [21]/[21]                                        | [20]/[20]                                         | [22]/[22]                                                           | [22]/[22]                                                              | [21]/[33]                                                                                    |
| MaxT     | PU        | [36]/[36]                                                               | [21]/[21]                                        | [20]/[20]                                         | [21]/[21]                                                           | [21]/[21]                                                              | [13]/[33]                                                                                    |
| MaxT     | U         | [36]/[36]                                                               | [21]/[21]                                        | [20]/[20]                                         | [21]/[21]                                                           | [21]/[21]                                                              | [19]/[33]                                                                                    |
