; Metric   ; Filters   ; scrc-rcsc-wh                                                         ; eng-wh                                        ; chi-wh                                         ; kor-wh                                                           ; jap-wh                                                           ; right-center                                                                                    ;
; AvgS     ;           ; [4.75]/[4.75]                                                        ; [5.0]/[9.666666666666666]                     ; [4.666666666666667]/[5.5]                      ; [9.0]/[9.8]                                                      ; [9.0]/[9.8]                                                      ; [8.0]/[5.2]                                                                                     ;
; AvgT     ;           ; [16.77777777777778]/[18.22222222222222]                              ; [11.0]/[11.285714285714286]                   ; [15.2]/[12.666666666666666]                    ; [10.333333333333334]/[11.0]                                      ; [10.333333333333334]/[11.0]                                      ; [13.0]/[16.333333333333332]                                                                     ;
; AvgT     ; I         ; [14.833333333333334]/[19.666666666666668]                            ; [10.0]/[10.6]                                 ; [14.0]/[13.25]                                 ; [9.0]/[10.666666666666666]                                       ; [9.0]/[10.666666666666666]                                       ; [14.222222222222221]/[16.555555555555557]                                                       ;
; AvgT     ; IP        ; [16.2]/[19.0]                                                        ; [10.0]/[12.333333333333334]                   ; [17.5]/[12.666666666666666]                    ; [11.0]/[11.25]                                                   ; [11.0]/[11.25]                                                   ; [14.833333333333334]/[16.714285714285715]                                                       ;
; AvgT     ; IPU       ; [0]/[0]                                                              ; [0]/[0]                                       ; [0]/[0]                                        ; [0]/[0]                                                          ; [0]/[0]                                                          ; [0]/[0]                                                                                         ;
; AvgT     ; IU        ; [8.0]/[23.0]                                                         ; [0]/[8.0]                                     ; [10.5]/[15.0]                                  ; [7.0]/[9.5]                                                      ; [7.0]/[9.5]                                                      ; [13.0]/[16.0]                                                                                   ;
; AvgT     ; P         ; [17.875]/[17.625]                                                    ; [11.0]/[12.6]                                 ; [18.333333333333332]/[12.2]                    ; [13.0]/[11.5]                                                    ; [13.0]/[11.5]                                                    ; [13.0]/[16.4]                                                                                   ;
; AvgT     ; PU        ; [20.666666666666668]/[15.333333333333334]                            ; [12.5]/[13.0]                                 ; [20.0]/[11.5]                                  ; [21.0]/[12.0]                                                    ; [21.0]/[12.0]                                                    ; [10.25]/[15.666666666666666]                                                                    ;
; AvgT     ; U         ; [17.5]/[17.25]                                                       ; [12.5]/[10.5]                                 ; [13.666666666666666]/[12.666666666666666]      ; [9.8]/[10.75]                                                    ; [9.8]/[10.75]                                                    ; [11.428571428571429]/[15.8]                                                                     ;
; BoxT     ;           ; [9]/[9]                                                              ; [5]/[7]                                       ; [5]/[6]                                        ; [9]/[8]                                                          ; [9]/[8]                                                          ; [13]/[12]                                                                                       ;
; BoxT     ; I         ; [6]/[6]                                                              ; [3]/[5]                                       ; [4]/[4]                                        ; [8]/[6]                                                          ; [8]/[6]                                                          ; [9]/[9]                                                                                         ;
; BoxT     ; IP        ; [5]/[5]                                                              ; [3]/[3]                                       ; [2]/[3]                                        ; [4]/[4]                                                          ; [4]/[4]                                                          ; [6]/[7]                                                                                         ;
; BoxT     ; IPU       ; [0]/[0]                                                              ; [0]/[0]                                       ; [0]/[0]                                        ; [0]/[0]                                                          ; [0]/[0]                                                          ; [0]/[0]                                                                                         ;
; BoxT     ; IU        ; [1]/[1]                                                              ; [0]/[2]                                       ; [2]/[1]                                        ; [4]/[2]                                                          ; [4]/[2]                                                          ; [3]/[2]                                                                                         ;
; BoxT     ; P         ; [8]/[8]                                                              ; [5]/[5]                                       ; [3]/[5]                                        ; [5]/[6]                                                          ; [5]/[6]                                                          ; [10]/[10]                                                                                       ;
; BoxT     ; PU        ; [3]/[3]                                                              ; [2]/[2]                                       ; [1]/[2]                                        ; [1]/[2]                                                          ; [1]/[2]                                                          ; [4]/[3]                                                                                         ;
; BoxT     ; U         ; [4]/[4]                                                              ; [2]/[4]                                       ; [3]/[3]                                        ; [5]/[4]                                                          ; [5]/[4]                                                          ; [7]/[5]                                                                                         ;
; MaxS     ;           ; [8]/[8]                                                              ; [6]/[17]                                      ; [7]/[11]                                       ; [24]/[24]                                                        ; [24]/[24]                                                        ; [28]/[8]                                                                                        ;
