|         | scrc rcsc                                                        | eng src orc                               | chi src orc                                | kor src orc                                                  | jap src orc                                                  | right center                                                                       |
| AvgT    | 16.77777777777778/18.22222222222222                              | 11.0/11.142857142857142                   | 15.2/12.666666666666666                    | 10.333333333333334/11.0                                      | 10.333333333333334/11.0                                      | 7.428571428571429/14.454545454545455                                               |
| AvgTI   | 20.666666666666668/15.333333333333334                            | 12.5/13.0                                 | 20.0/11.5                                  | 21.0/12.0                                                    | 21.0/12.0                                                    | 5.25/15.666666666666666                                                            |
| AvgTL   | 14.833333333333334/19.666666666666668                            | 10.0/10.4                                 | 14.0/13.25                                 | 9.0/10.666666666666666                                       | 9.0/10.666666666666666                                       | 8.3/14.0                                                                           |
| AvgTP   | 8.0/23.0                                                         | 0/7.0                                     | 10.5/15.0                                  | 7.0/9.5                                                      | 7.333333333333333/9.5                                        | 8.0/16.0                                                                           |
| AvgTU   | 16.2/19.0                                                        | 10.0/11.25                                | 17.5/12.666666666666666                    | 11.0/11.25                                                   | 10.0/11.25                                                   | 8.428571428571429/13.333333333333334                                               |
| BoxT    | 9/9                                                              | 5/7                                       | 5/6                                        | 9/8                                                          | 9/8                                                          | 14/11                                                                              |
| BoxTI   | 3/3                                                              | 2/2                                       | 1/2                                        | 1/2                                                          | 1/2                                                          | 4/3                                                                                |
| BoxTL   | 6/6                                                              | 3/5                                       | 4/4                                        | 8/6                                                          | 8/6                                                          | 10/8                                                                               |
| BoxTP   | 1/1                                                              | 0/1                                       | 2/1                                        | 4/2                                                          | 3/2                                                          | 3/2                                                                                |
| BoxTU   | 5/5                                                              | 3/4                                       | 2/3                                        | 4/4                                                          | 5/4                                                          | 7/6                                                                                |
| Con     | 36/32                                                            | 10/22                                     | 10/15                                      | 23/17                                                        | 23/17                                                        | 27/45                                                                              |
| ConI    | 3/2                                                              | 1/1                                       | 0/1                                        | 0/1                                                          | 0/1                                                          | 0/2                                                                                |
| ConL    | 15/14                                                            | 3/11                                      | 6/6                                        | 16/7                                                         | 16/7                                                         | 14/24                                                                              |
| ConP    | 0/0                                                              | 0/0                                       | 1/0                                        | 3/0                                                          | 1/0                                                          | 0/1                                                                                |
| ConU    | 10/9                                                             | 3/6                                       | 1/3                                        | 3/3                                                          | 6/3                                                          | 6/12                                                                               |
| Div     | 0/4                                                              | 0/0                                       | 0/0                                        | 13/11                                                        | 13/11                                                        | 65/10                                                                              |
| DivI    | 0/1                                                              | 0/0                                       | 0/0                                        | 0/0                                                          | 0/0                                                          | 6/1                                                                                |
| DivL    | 0/1                                                              | 0/0                                       | 0/0                                        | 12/8                                                         | 12/8                                                         | 32/4                                                                               |
| DivP    | 0/0                                                              | 0/0                                       | 0/0                                        | 3/1                                                          | 2/1                                                          | 3/0                                                                                |
| DivU    | 0/1                                                              | 0/0                                       | 0/0                                        | 3/3                                                          | 4/3                                                          | 15/3                                                                               |
| MaxT    | 36/36                                                            | 21/21                                     | 20/20                                      | 22/22                                                        | 22/22                                                        | 11/37                                                                              |
| MaxTI   | 36/36                                                            | 21/21                                     | 20/20                                      | 21/21                                                        | 21/21                                                        | 6/37                                                                               |
| MaxTL   | 36/36                                                            | 21/21                                     | 20/20                                      | 22/22                                                        | 22/22                                                        | 11/25                                                                              |
| MaxTP   | 8/23                                                             | 0/7                                       | 15/15                                      | 16/16                                                        | 16/16                                                        | 10/24                                                                              |
| MaxTU   | 36/36                                                            | 21/21                                     | 20/20                                      | 22/22                                                        | 22/22                                                        | 11/25                                                                              |
| Sizeavg | 4.75/4.75                                                        | 5.0/5.0                                   | 4.666666666666667/5.5                      | 9.0/9.8                                                      | 9.0/9.8                                                      | 7.142857142857143/5.2                                                              |
| Sizebox | 4/4                                                              | 2/3                                       | 3/4                                        | 5/5                                                          | 5/5                                                          | 7/5                                                                                |
| Sizemax | 8/8                                                              | 6/8                                       | 7/11                                       | 24/24                                                        | 24/24                                                        | 13/8                                                                               |
| Sizer   | [8, 4, 4, 3]/[8, 4, 4, 3]                                        | [6, 4]/[8, 4, 3]                          | [7, 4, 3]/[11, 4, 4, 3]                    | [24, 8, 5, 5, 3]/[24, 12, 5, 5, 3]                           | [24, 8, 5, 5, 3]/[24, 12, 5, 5, 3]                           | [13, 11, 9, 5, 5, 4, 3]/[8, 8, 4, 3, 3]                                            |
| Sizesum | 19/19                                                            | 10/15                                     | 14/22                                      | 45/49                                                        | 45/49                                                        | 50/26                                                                              |
| SumT    | 151/164                                                          | 55/78                                     | 76/76                                      | 93/88                                                        | 93/88                                                        | 104/159                                                                            |
| SumTI   | 62/46                                                            | 25/26                                     | 20/23                                      | 21/24                                                        | 21/24                                                        | 21/47                                                                              |
| SumTL   | 89/118                                                           | 30/52                                     | 56/53                                      | 72/64                                                        | 72/64                                                        | 83/112                                                                             |
| SumTP   | 8/23                                                             | 0/7                                       | 21/15                                      | 28/19                                                        | 22/19                                                        | 24/32                                                                              |
| SumTU   | 81/95                                                            | 30/45                                     | 35/38                                      | 44/45                                                        | 50/45                                                        | 59/80                                                                              |
| Tenure  | [36, 36, 21, 21, 9, 8, 8, 7, 5]/[36, 36, 24, 23, 23, 7, 5, 5, 5] | [21, 21, 5, 4, 4]/[21, 21, 9, 8, 7, 7, 5] | [20, 20, 15, 15, 6]/[20, 20, 15, 15, 3, 3] | [22, 21, 16, 16, 6, 3, 3, 3, 3]/[22, 21, 16, 16, 4, 3, 3, 3] | [22, 21, 16, 16, 6, 3, 3, 3, 3]/[22, 21, 16, 16, 4, 3, 3, 3] | [11, 10, 9, 9, 8, 8, 8, 7, 7, 6, 6, 5, 5, 5]/[37, 25, 24, 24, 9, 8, 8, 7, 7, 5, 5] |
| TenureI | [36, 21, 5]/[36, 5, 5]                                           | [21, 4]/[21, 5]                           | [20]/[20, 3]                               | [21]/[21, 3]                                                 | [21]/[21, 3]                                                 | [6, 5, 5, 5]/[37, 5, 5]                                                            |
| TenureL | [36, 21, 9, 8, 8, 7]/[36, 24, 23, 23, 7, 5]                      | [21, 5, 4]/[21, 9, 8, 7, 7]               | [20, 15, 15, 6]/[20, 15, 15, 3]            | [22, 16, 16, 6, 3, 3, 3, 3]/[22, 16, 16, 4, 3, 3]            | [22, 16, 16, 6, 3, 3, 3, 3]/[22, 16, 16, 4, 3, 3]            | [11, 10, 9, 9, 8, 8, 8, 7, 7, 6]/[25, 24, 24, 9, 8, 8, 7, 7]                       |
| TenureP | [8]/[23]                                                         | []/[7]                                    | [15, 6]/[15]                               | [16, 6, 3, 3]/[16, 3]                                        | [16, 3, 3]/[16, 3]                                           | [10, 8, 6]/[24, 8]                                                                 |
| TenureU | [36, 21, 9, 8, 7]/[36, 24, 23, 7, 5]                             | [21, 5, 4]/[21, 9, 8, 7]                  | [20, 15]/[20, 15, 3]                       | [22, 16, 3, 3]/[22, 16, 4, 3]                                | [22, 16, 6, 3, 3]/[22, 16, 4, 3]                             | [11, 9, 9, 8, 8, 7, 7]/[25, 24, 9, 8, 7, 7]                                        |
